Model,Scenario,Region,Variable,Unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Biomass,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216,0.0005256,0.0008316,0.0007092,0.0011052,0.0011052,0.0009324,0.0009324,0.0009432,0.0009576,0.000972,0.0009864,0.0010008,0.0010152,0.0010296,0.001044,0.001062,0.00108,0.001098,0.001116
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Coal,EJ/yr,0.196326,0.2112624,0.228258,0.246636,0.2655864,0.2788308,0.2821176,0.2972736,0.3189132,0.35253,0.4031208,0.42471,0.433746,0.4706064,0.4874508,0.4895568,0.5139828,0.5149152,0.5344632,0.5613336,0.5593968,0.5641812,0.597456,0.6088068,0.623376,0.6708312,0.6943284,0.6750972,0.6719832,0.6963084,0.7025616,0.7341228,0.783414,0.8148276,0.8246664,0.8552988,0.8887536,0.867132,0.8360928,0.8709048,0.8765748,0.8684208,0.8544672,0.8361432,0.8235072
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Fossil,EJ/yr,0.196326,0.2112624,0.228258,0.246636,0.2655864,0.2789352,0.2821644,0.2973204,0.3189744,0.3526524,0.4032108,0.4247856,0.4338972,0.47079,0.487602,0.489708,0.514134,0.5150988,0.5344632,0.5613336,0.5593968,0.5641812,0.597456,0.6098472,0.6247836,0.6708312,0.6943284,0.6750972,0.6719832,0.6963084,0.7025832,0.7341516,0.7834284,0.8148276,0.8249472,0.855522,0.8929044,0.8676468,0.8362692,0.871614,0.877284,0.8691192,0.8551584,0.8368236,0.824166
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Gas,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Geothermal,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Hydro,EJ/yr,0.0004032,0.0030024,0.003546,0.0040752,0.004032,0.0067536,0.0069984,0.0068652,0.0041184,0.0035712,0.0059508,0.0036576,0.002142,0.002016,0.0022464,0.0058428,0.0058212,0.0113832,0.0099324,0.003636,0.007128,0.0027072,0.0005256,0.0038664,0.0019044,0.0047484,0.0075312,0.005742,0.0026136,0.0039636,0.007146,0.0085788,0.0025236,0.00342,0.0047952,0.0104328,0.0031248,0.0043308,0.00504,0.0076104,0.0074052,0.004338,0.0041724,0.00351,0.0028836
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Nuclear,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01413,0.019134,0.0316908,0.0222012,0.0377748,0.0399564,0.0304164,0.0329184,0.0334368,0.026118,0.0349092,0.0406836,0.04239,0.0455292,0.0489636,0.0462132,0.046836,0.0385884,0.0431676,0.0455868,0.048114,0.0406548,0.0360936,0.0407412,0.0468144,0.0461016,0.0435564,0.0486072,0.0430344,0.0507816,0.0496584,0.0440532
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Ocean,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Oil,EJ/yr,0,0,0,0,0,0.0001044,4.68E-05,4.68E-05,6.12E-05,0.0001224,9.00E-05,7.56E-05,0.0001512,0.0001836,0.0001512,0.0001512,0.0001512,0.0001836,0,0,0,0,0,0.0010404,0.0014076,0,0,0,0,0,2.16E-05,2.88E-05,1.44E-05,0,0.0002808,0.0002232,0.0041508,0.0005148,0.0001764,0.0007092,0.0007092,0.0006984,0.0006912,0.0006804,0.0006588
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Solar,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001656,0.0039096,0.0078588
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity,EJ/yr,0.1967292,0.2142648,0.231804,0.2507112,0.2696184,0.2856888,0.2891628,0.3041856,0.3230928,0.3562236,0.4091616,0.4284432,0.4360392,0.486936,0.5089824,0.5272416,0.5421564,0.5642568,0.584352,0.595386,0.5994432,0.6003252,0.6240996,0.6486228,0.6673716,0.7181856,0.7479144,0.7306344,0.7215192,0.7482132,0.7494228,0.7868304,0.8324928,0.867348,0.871398,0.9030636,0.9378,0.9198684,0.888534,0.9239328,0.9344736,0.9176868,0.9114912,0.8980956,0.8882496
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Wind,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16E-05,4.32E-05,4.32E-05,4.32E-05,4.32E-05,7.56E-05,0.000108,0.0001224,0.0001332,0.0001332,0.0001332,0.003096,0.008172
History,IEA Energy Statistics (2017),South Africa,Final Energy|Solids|Biomass,EJ/yr,0.19467113,0.20388497,0.21122243,0.22352814,0.24407872,0.23369679,0.22971418,0.22994638,0.23370157,0.23696401,0.25597932,0.26098074,0.25796952,0.28193647,0.2779562,0.28395505,0.29695495,0.30594141,0.31594426,0.3229595,0.32895835,0.33392657,0.33995623,0.34694069,0.35393934,0.35910284,0.36359586,0.36897594,0.37856489,0.38654791,0.39464165,0.40011192,0.40531,0.41066487,0.41618471,0.42192033,0.42787166,0.43401901,0.44040606,0.44703394,0.45387973,0.46096831,0.46833063,0.47597368,0.48386868
