,lvl,mode,mrg,node_loc,technology,time,year_act,year_vtg
0,0.0,M1,0.0,South Africa,bio_istig,year,2010,1990
1,0.0,M1,0.0,South Africa,bio_istig,year,2010,1995
2,0.0,M1,0.08275968,South Africa,bio_istig,year,2020,1995
3,0.0,M1,0.0,South Africa,bio_istig,year,2010,2005
4,0.0,M1,0.08275968,South Africa,bio_istig,year,2020,2005
5,0.0,M1,0.9303073,South Africa,bio_istig,year,2030,2005
6,0.0,M1,0.0,South Africa,bio_istig,year,2010,2010
7,0.0,M1,0.0,South Africa,bio_istig,year,2020,2010
8,0.0,M1,0.0,South Africa,bio_istig,year,2030,2010
9,0.872557,M1,0.0,South Africa,bio_istig,year,2020,2020
10,0.0,M1,0.0,South Africa,bio_istig,year,2030,2020
11,0.0,M1,0.0,South Africa,bio_istig,year,2040,2020
12,0.3042418,M1,0.0,South Africa,bio_istig,year,2030,2030
13,0.09360226,M1,0.0,South Africa,bio_istig,year,2040,2030
14,0.1521209,M1,0.0,South Africa,bio_istig,year,2050,2030
15,0.012480301,M1,0.0,South Africa,bio_istig,year,2040,2040
16,0.10608256,M1,0.0,South Africa,bio_istig,year,2050,2040
17,0.0369887,M1,0.0,South Africa,bio_istig,year,2050,2050
18,0.0,M1,0.0,South Africa,biomass_t_d,year,1990,1990
19,0.0,M1,0.0,South Africa,biomass_t_d,year,1995,1995
20,0.0,M1,0.0,South Africa,biomass_t_d,year,2000,2000
21,0.0,M1,0.0,South Africa,biomass_t_d,year,2005,2005
22,0.0,M1,0.0,South Africa,biomass_t_d,year,2010,2010
23,17.641737,M1,0.0,South Africa,biomass_t_d,year,2020,2020
24,16.04,M1,0.0,South Africa,biomass_t_d,year,2030,2030
25,11.349429,M1,0.0,South Africa,biomass_t_d,year,2040,2040
26,7.5749803,M1,0.0,South Africa,biomass_t_d,year,2050,2050
27,0.0,M1,0.0,South Africa,biomass_i,year,1995,1995
28,0.0,M1,0.0,South Africa,biomass_i,year,2000,1995
29,0.0,M1,0.0,South Africa,biomass_i,year,2005,1995
30,0.0,M1,0.0,South Africa,biomass_i,year,2010,1995
31,0.0,M1,0.0,South Africa,biomass_i,year,2020,1995
32,0.0,M1,0.0,South Africa,biomass_i,year,2000,2000
33,0.0,M1,0.0,South Africa,biomass_i,year,2005,2000
34,0.0,M1,0.0,South Africa,biomass_i,year,2010,2000
35,0.0,M1,0.0,South Africa,biomass_i,year,2020,2000
36,0.0,M1,0.0,South Africa,biomass_i,year,2005,2005
37,0.0,M1,0.0,South Africa,biomass_i,year,2010,2005
38,0.0,M1,0.0,South Africa,biomass_i,year,2020,2005
39,0.0,M1,0.0,South Africa,biomass_i,year,2030,2005
40,0.0,M1,0.0,South Africa,biomass_i,year,2010,2010
41,0.0,M1,0.0,South Africa,biomass_i,year,2020,2010
42,0.0,M1,0.0,South Africa,biomass_i,year,2030,2010
43,1.8,M1,0.0,South Africa,biomass_i,year,2020,2020
44,0.6222735,M1,0.0,South Africa,biomass_i,year,2030,2020
45,0.0,M1,1.110223e-15,South Africa,biomass_i,year,2040,2020
46,1.0777265,M1,0.0,South Africa,biomass_i,year,2030,2030
47,0.37257814,M1,0.0,South Africa,biomass_i,year,2040,2030
48,0.0,M1,0.0,South Africa,biomass_i,year,2050,2030
49,0.64527464,M1,0.0,South Africa,biomass_i,year,2040,2040
50,0.2230763,M1,0.0,South Africa,biomass_i,year,2050,2040
51,0.38634977,M1,0.0,South Africa,biomass_i,year,2050,2050
52,0.0,M1,0.0,South Africa,biomass_rc,year,1995,1995
53,0.0,M1,0.0,South Africa,biomass_rc,year,2000,2000
54,0.0,M1,0.0,South Africa,biomass_rc,year,2005,2005
55,0.0,M1,0.0,South Africa,biomass_rc,year,2010,2010
56,5.770981,M1,0.0,South Africa,biomass_rc,year,2020,2020
57,5.92139,M1,0.0,South Africa,biomass_rc,year,2030,2030
58,4.8538656,M1,0.0,South Africa,biomass_rc,year,2040,2040
59,3.6505706,M1,0.0,South Africa,biomass_rc,year,2050,2050
60,0.0,M1,0.0,South Africa,biomass_nc,year,1990,1990
61,0.0,M1,0.0,South Africa,biomass_nc,year,1995,1990
62,0.0,M1,0.0,South Africa,biomass_nc,year,1995,1995
63,0.0,M1,0.0,South Africa,biomass_nc,year,2000,1995
64,0.0,M1,0.0,South Africa,biomass_nc,year,2000,2000
65,0.0,M1,0.0,South Africa,biomass_nc,year,2005,2000
66,0.0,M1,0.0,South Africa,biomass_nc,year,2005,2005
67,0.0,M1,0.0,South Africa,biomass_nc,year,2010,2005
68,0.0,M1,0.0,South Africa,biomass_nc,year,2010,2010
69,0.0,M1,235.13924,South Africa,biomass_nc,year,2020,2010
