,commodity,level,mode,node_dest,node_loc,technology,time,time_dest,unit,value,year_act,year_vtg
0,electr,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,0.13636364,2020,2020
1,electr,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,0.13636364,2030,2030
2,electr,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,0.13636364,2040,2040
3,electr,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,0.13636364,2050,2050
4,electr,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,0.09090909,2020,2020
5,electr,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,0.09090909,2030,2030
6,electr,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,0.09090909,2040,2040
7,electr,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,0.09090909,2050,2050
8,lightoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.9010989,1995,1995
9,lightoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.9130435,2000,2000
10,lightoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.9189189,2005,2005
11,lightoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.9247312,2010,2010
12,lightoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.9361702,2020,2020
13,lightoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.94736844,2030,2030
14,lightoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.94736844,2040,2040
15,lightoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.94736844,2050,2050
16,electr,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,0.0,2020,2020
17,electr,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,0.0,2030,2030
18,electr,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,0.0,2040,2040
19,electr,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,0.0,2050,2050
20,electr,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,0.0,2020,2020
21,electr,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,0.0,2030,2030
22,electr,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,0.0,2040,2040
23,electr,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,0.0,2050,2050
24,electr,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,0.03846154,2020,2020
25,electr,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,0.03846154,2030,2030
26,electr,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,0.03846154,2040,2040
27,electr,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,0.03846154,2050,2050
28,electr,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,0.01923077,2020,2020
29,electr,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,0.01923077,2030,2030
30,electr,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,0.01923077,2040,2040
31,electr,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,0.01923077,2050,2050
32,coal,primary,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,1990,1990
33,coal,primary,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,1995,1995
34,coal,primary,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2000,2000
35,coal,primary,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2005,2005
36,coal,primary,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2010,2010
37,coal,primary,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2020,2020
38,coal,primary,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2030,2030
39,coal,primary,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2040,2040
40,coal,primary,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2050,2050
41,gas,secondary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,1990,1990
42,gas,secondary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,1995,1995
43,gas,secondary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2000,2000
44,gas,secondary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2005,2005
45,gas,secondary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2010,2010
46,gas,secondary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2020,2020
47,gas,secondary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2030,2030
48,gas,secondary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2040,2040
49,gas,secondary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2050,2050
50,crudeoil,secondary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,1990,1990
51,crudeoil,secondary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,1995,1995
52,crudeoil,secondary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,2000,2000
53,crudeoil,secondary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,2005,2005
