,lvl,mode,mrg,node_loc,technology,time,year_act,year_vtg
0,0.0,M1,0.0,South Africa,bio_istig,year,2010,1990
1,0.0,M1,0.0,South Africa,bio_istig,year,2010,1995
2,0.00125,M1,0.0,South Africa,bio_istig,year,2020,1995
3,0.0,M1,0.0,South Africa,bio_istig,year,2010,2005
4,0.0042,M1,0.0,South Africa,bio_istig,year,2020,2005
5,0.0,M1,0.16578916,South Africa,bio_istig,year,2030,2005
6,0.0,M1,0.0,South Africa,bio_istig,year,2010,2010
7,0.0,M1,0.0,South Africa,bio_istig,year,2020,2010
8,0.0,M1,0.0,South Africa,bio_istig,year,2030,2010
9,0.0057347766,M1,0.0,South Africa,bio_istig,year,2020,2020
10,0.0057347766,M1,0.0,South Africa,bio_istig,year,2030,2020
11,0.0,M1,0.0,South Africa,bio_istig,year,2040,2020
12,0.0019995929,M1,0.0,South Africa,bio_istig,year,2030,2030
13,0.0019995929,M1,0.0,South Africa,bio_istig,year,2040,2030
14,0.0009997964,M1,0.0,South Africa,bio_istig,year,2050,2030
15,0.000697215,M1,0.0,South Africa,bio_istig,year,2040,2040
16,0.000697215,M1,0.0,South Africa,bio_istig,year,2050,2040
17,0.00024310382,M1,0.0,South Africa,bio_istig,year,2050,2050
18,0.0,M1,0.0,South Africa,biomass_t_d,year,1990,1990
19,0.0,M1,0.0,South Africa,biomass_t_d,year,1995,1995
20,0.0,M1,0.0,South Africa,biomass_t_d,year,2000,2000
21,0.0,M1,0.0,South Africa,biomass_t_d,year,2005,2005
22,0.0,M1,0.0,South Africa,biomass_t_d,year,2010,2010
23,6.8340497,M1,0.0,South Africa,biomass_t_d,year,2020,2020
24,10.025696,M1,0.0,South Africa,biomass_t_d,year,2030,2030
25,11.240606,M1,0.0,South Africa,biomass_t_d,year,2040,2040
26,14.046961,M1,0.0,South Africa,biomass_t_d,year,2050,2050
27,0.0,M1,0.0,South Africa,biomass_i,year,1995,1995
28,0.0,M1,0.0,South Africa,biomass_i,year,2000,1995
29,0.0,M1,0.0,South Africa,biomass_i,year,2005,1995
30,0.0,M1,0.0,South Africa,biomass_i,year,2010,1995
31,0.0,M1,0.0,South Africa,biomass_i,year,2020,1995
32,0.0,M1,0.0,South Africa,biomass_i,year,2000,2000
33,0.0,M1,0.0,South Africa,biomass_i,year,2005,2000
34,0.0,M1,0.0,South Africa,biomass_i,year,2010,2000
35,0.0,M1,0.0,South Africa,biomass_i,year,2020,2000
36,0.0,M1,0.0,South Africa,biomass_i,year,2005,2005
37,0.0,M1,0.0,South Africa,biomass_i,year,2010,2005
38,0.0,M1,0.0,South Africa,biomass_i,year,2020,2005
39,0.0,M1,0.0,South Africa,biomass_i,year,2030,2005
40,0.0,M1,0.0,South Africa,biomass_i,year,2010,2010
41,0.16881232,M1,0.0,South Africa,biomass_i,year,2020,2010
42,0.16881232,M1,0.0,South Africa,biomass_i,year,2030,2010
43,0.5985165,M1,0.0,South Africa,biomass_i,year,2020,2020
44,0.5985165,M1,0.0,South Africa,biomass_i,year,2030,2020
45,0.0,M1,0.61684024,South Africa,biomass_i,year,2040,2020
46,0.84596705,M1,0.0,South Africa,biomass_i,year,2030,2030
47,0.56842643,M1,0.0,South Africa,biomass_i,year,2040,2030
48,0.28421322,M1,0.0,South Africa,biomass_i,year,2050,2030
49,0.5065117,M1,0.0,South Africa,biomass_i,year,2040,2040
50,0.5065117,M1,0.0,South Africa,biomass_i,year,2050,2040
51,0.48194376,M1,0.0,South Africa,biomass_i,year,2050,2050
52,0.0,M1,0.0,South Africa,biomass_rc,year,1995,1995
53,0.0,M1,0.0,South Africa,biomass_rc,year,2000,2000
54,0.0,M1,0.0,South Africa,biomass_rc,year,2005,2005
55,0.0,M1,0.0,South Africa,biomass_rc,year,2010,2010
56,2.1855278,M1,0.0,South Africa,biomass_rc,year,2020,2020
57,3.281083,M1,0.0,South Africa,biomass_rc,year,2030,2030
58,4.7534175,M1,0.0,South Africa,biomass_rc,year,2040,2040
59,6.6489544,M1,0.0,South Africa,biomass_rc,year,2050,2050
60,0.0,M1,0.0,South Africa,biomass_nc,year,1990,1990
61,0.0,M1,0.0,South Africa,biomass_nc,year,1995,1990
62,0.0,M1,0.0,South Africa,biomass_nc,year,1995,1995
63,0.0,M1,0.0,South Africa,biomass_nc,year,2000,1995
64,0.0,M1,0.0,South Africa,biomass_nc,year,2000,2000
65,0.0,M1,0.0,South Africa,biomass_nc,year,2005,2000
66,0.0,M1,0.0,South Africa,biomass_nc,year,2005,2005
67,0.0,M1,0.0,South Africa,biomass_nc,year,2010,2005
68,0.0,M1,0.0,South Africa,biomass_nc,year,2010,2010
69,0.0,M1,0.0,South Africa,biomass_nc,year,2020,2010
