,commodity,level,mode,node_loc,node_origin,technology,time,time_origin,unit,value,year_act,year_vtg
0,electr,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,0.0,2020,2020
1,electr,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,0.0,2030,2030
2,electr,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,0.0,2040,2040
3,electr,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,0.0,2050,2050
4,electr,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,0.0016666667,2020,2020
5,electr,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,0.0016666667,2030,2030
6,electr,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,0.0016666667,2040,2040
7,electr,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,0.0016666667,2050,2050
8,electr,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,0.0,2020,2020
9,electr,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,0.0,2030,2030
10,electr,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,0.0,2040,2040
11,electr,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,0.0,2050,2050
12,electr,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,0.0,2020,2020
13,electr,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,0.0,2030,2030
14,electr,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,0.0,2040,2040
15,electr,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,0.0,2050,2050
16,electr,secondary,M1,South Africa,South Africa,gas_bio,year,year,GWa,0.13711911,2010,2010
17,electr,secondary,M1,South Africa,South Africa,gas_bio,year,year,GWa,0.13414635,2020,2020
18,electr,secondary,M1,South Africa,South Africa,gas_bio,year,year,GWa,0.13129973,2030,2030
19,electr,secondary,M1,South Africa,South Africa,gas_bio,year,year,GWa,0.12857144,2040,2040
20,electr,secondary,M1,South Africa,South Africa,gas_bio,year,year,GWa,0.12857144,2050,2050
21,coal,resource,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,1990,1990
22,coal,resource,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,1995,1995
23,coal,resource,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2000,2000
24,coal,resource,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2005,2005
25,coal,resource,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2010,2010
26,coal,resource,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2020,2020
27,coal,resource,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2030,2030
28,coal,resource,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2040,2040
29,coal,resource,M1,South Africa,South Africa,coal_extr,year,year,GWa,1.0,2050,2050
30,gas,primary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,1990,1990
31,gas,primary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,1995,1995
32,gas,primary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2000,2000
33,gas,primary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2005,2005
34,gas,primary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2010,2010
35,gas,primary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2020,2020
36,gas,primary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2030,2030
37,gas,primary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2040,2040
38,gas,primary,M1,South Africa,South Africa,gas_bal,year,year,GWa,1.0,2050,2050
39,crudeoil,primary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,1990,1990
40,crudeoil,primary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,1995,1995
41,crudeoil,primary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,2000,2000
42,crudeoil,primary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,2005,2005
43,crudeoil,primary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,2010,2010
44,crudeoil,primary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,2020,2020
45,crudeoil,primary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,2030,2030
46,crudeoil,primary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,2040,2040
47,crudeoil,primary,M1,South Africa,South Africa,oil_bal,year,year,GWa,1.0,2050,2050
48,coal,primary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.0,1990,1990
49,coal,primary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.0,1995,1995
50,coal,primary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.2820513,2000,2000
51,coal,primary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.3157895,2005,2005
52,coal,primary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.3157895,2010,2010
53,coal,primary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.1764706,2020,2020
54,coal,primary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.1111112,2030,2030
55,coal,primary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.0,2040,2040
56,coal,primary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.0,2050,2050
57,coal,secondary,M1,South Africa,South Africa,coal_gas,year,year,GWa,1.3157895,2010,2010
58,coal,secondary,M1,South Africa,South Africa,coal_gas,year,year,GWa,1.3157895,2020,2020
59,coal,secondary,M1,South Africa,South Africa,coal_gas,year,year,GWa,1.3157895,2030,2030
60,coal,secondary,M1,South Africa,South Africa,coal_gas,year,year,GWa,1.3157895,2040,2040
61,coal,secondary,M1,South Africa,South Africa,coal_gas,year,year,GWa,1.3157895,2050,2050
62,coal,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,2.2727273,2020,2020
63,coal,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,2.2727273,2030,2030
64,coal,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,2.2727273,2040,2040
65,coal,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,2.2727273,2050,2050
66,coal,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,2.2727273,2020,2020
67,coal,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,2.2727273,2030,2030
68,coal,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,2.2727273,2040,2040
69,coal,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,2.2727273,2050,2050
70,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0989012,1995,1995
71,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0869565,2000,2000
72,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.081081,2005,2005
73,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0752689,2010,2010
74,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0638298,2020,2020
75,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0526316,2030,2030
76,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0526316,2040,2040
77,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0526316,2050,2050
78,gas,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.6666666,2020,2020
79,gas,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.6666666,2030,2030
80,gas,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.6666666,2040,2040
81,gas,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.6666666,2050,2050
82,gas,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.6666666,2020,2020
83,gas,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.6666666,2030,2030
84,gas,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.6666666,2040,2040
85,gas,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.6666666,2050,2050
86,coal,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,1.9230769,2020,2020
