,CON_STRAT,IDPOLLUTANTS,MESSAGE_Tech,YEAR,ACT_ABB_I,SEC_ABB_I,TECH_ABB,UNIT_COSTS,COSTS,per_unit_cost,per_cost,PERC
18,SAFR_WHOL_gCLE17v1,NOX,Primary Energy|Coal|coal_ppl,2015,BC1,PP_EX_L,PBCCM,0.00046232336095912397,0.0,0.0001849293443836496,0.0,0.4
19,SAFR_WHOL_gCLE17v1,NOX,Primary Energy|Coal|coal_ppl,2015,BC1,PP_EX_S,PBCCM,0.00046232336095912397,0.0,0.0001849293443836496,0.0,0.4
20,SAFR_WHOL_gCLE17v1,NOX,Primary Energy|Coal|coal_ppl,2015,BC2,PP_EX_L,PBCCM,0.00046232336095912397,0.0,0.0001849293443836496,0.0,0.4
21,SAFR_WHOL_gCLE17v1,NOX,Primary Energy|Coal|coal_ppl,2015,BC2,PP_EX_S,PBCCM,0.00046232336095912397,0.0,0.0001849293443836496,0.0,0.4
22,SAFR_WHOL_gCLE17v1,NOX,Primary Energy|Coal|coal_ppl,2015,HC1,PP_EX_S,PHCCM,0.000268989681761027,0.1037244414309623,0.0001075958727044108,0.04148977657238492,0.4
23,SAFR_WHOL_gCLE17v1,NOX,Primary Energy|Coal|coal_ppl,2015,HC2,PP_EX_L,PHCCM,0.000268989681761027,0.0,0.0001075958727044108,0.0,0.4
24,SAFR_WHOL_gCLE17v1,NOX,Primary Energy|Coal|coal_ppl,2015,HC2,PP_EX_S,PHCCM,0.000268989681761027,0.0,0.0001075958727044108,0.0,0.4
25,SAFR_WHOL_gCLE17v1,NOX,Primary Energy|Coal|coal_ppl,2015,HC3,PP_EX_L,PHCCM,0.000268989681761027,0.0,0.0001075958727044108,0.0,0.4
26,SAFR_WHOL_gCLE17v1,NOX,Primary Energy|Coal|coal_ppl,2015,HC3,PP_EX_S,PHCCM,0.000268989681761027,0.0,0.0001075958727044108,0.0,0.4
130,SAFR_WHOL_gCLE17v1,PM,Primary Energy|Coal|coal_adv,2015,BC1,PP_MOD,ESP1,0.00339552487539077,0.0,0.002376867412773539,0.0,0.7
131,SAFR_WHOL_gCLE17v1,PM,Primary Energy|Coal|coal_adv,2015,BC1,PP_MOD,ESP2,0.0036444035394997062,0.0,0.0010933210618499119,0.0,0.3
132,SAFR_WHOL_gCLE17v1,PM,Primary Energy|Coal|coal_adv,2015,BC2,PP_MOD,ESP1,0.00339552487539077,0.0,0.002376867412773539,0.0,0.7
