scenario,iso,year,pop,gdp,urbanization,gini,gdppc,hh_gdp,income,k_i,k_t,n_u,n_r,i_r,i_u,g_u,g_r,T,T_emp,T_b,T_w,T_w_emp,t_r,t_r_emp,t_u,t_u_emp,gini_r,gini_u,gini_r_emp,gini_u_emp
SSP1,ZAF,2010,50133000.0,522418981248.0,0.6221800000000001,0.6938,10420.6606676,308310329470.0,6149.84799374,2.0696348251299996,1.06903856043,31191749.94,18941250.06,3692.48157968,7642.08846846,238370112527.0,69940216942.7,1.0469957871,0.8833861186799998,0.052239137651500005,0.994756649451,0.831146981029,0.944349933101,0.789030760804,1.00954649302,0.843504308665,0.66883834474,0.684988490245,0.662368621585,0.6808914462469999
SSP1,ZAF,2015,52396000.0,627500065445.0,0.65351,0.6921475216670001,11976.106295200001,370324890297.0,7067.80842616,1.9507809064900001,1.08309564572,34241309.96,18154690.04,4359.22593054,8503.89471238,291184494714.0,79140395583.3,1.03986668991,0.8781880894840001,0.042169562698099995,0.997697127211,0.836018526786,0.93650788855,0.784745113477,1.0143276162700001,0.849954015404,0.666822455553,0.686131696327,0.660865552345,0.683015338832
SSP1,ZAF,2020,54709000.0,782115995300.0,0.68829,0.690214209444,14295.9292859,461572892353.0,8436.87313519,1.83192698785,1.097152731,37655657.61,17053342.39,5364.89599321,9828.09775697,370083484094.0,91489408259.0,1.03158882399,0.872141752635,0.032642199264099996,0.998946624722,0.839499553371,0.926756149839,0.778831776012,1.01679304077,0.854497410043,0.664292741478,0.6867190814569999,0.658780286244,0.6845029565790001
SSP1,ZAF,2025,56784000.0,971989300084.0,0.72106,0.686832822222,17117.309454799997,573628355988.0,10101.9363903,1.71307306921,1.11120981629,40944671.04,15839328.96,6671.60663333,11428.949651899999,467954583830.0,105673772157.0,1.01727114118,0.861656451655,0.0242589168354,0.993012224341,0.837397534819,0.910416714216,0.7677455457800001,1.01166398975,0.8531263868819999,0.659996123645,0.685495471637,0.654835064494,0.684054789321
SSP1,ZAF,2030,58468000.0,1195966778310.0,0.75162,0.6814741977779999,20455.065648,705810708818.0,12071.7436686,1.59421915057,1.12526690157,43945718.16,14522281.84,8344.75209277,13303.363593,584625867040.0,121184841776.0,0.994990095995,0.845269667773,0.0170731627435,0.977916933252,0.8281965050300001,0.885987666638,0.750341735642,0.996972596471,0.8443347199869999,0.653433066735,0.6819558385789999,0.648545728543,0.6811657015270001
SSP1,ZAF,2035,59893000.0,1453578566380.0,0.77986,0.6756199177779999,24269.5902089,857842656561.0,14322.920150299999,1.47536523193,1.13932398686,46708154.98,13184845.02,10449.2074259,15416.397337399998,720071476069.0,137771180493.0,0.971204024215,0.8276810684129999,0.011111660129,0.9600923640860001,0.816569408284,0.859567426344,0.7310718124269999,0.979325787157,0.832927652016,0.6461402274570001,0.6776346848520001,0.641441812829,0.6773774934569999
SSP1,ZAF,2040,61035000.0,1730294105470.0,0.80572,0.668803001111,28349.211198,1021148857310.0,16730.5457083,1.35651131329,1.15338107215,49177120.2,11857879.8,12997.1395331,17630.766817,867030338979.0,154118518327.0,0.9442118947779999,0.807600939349,0.00638939517425,0.937822499604,0.8012115441750001,0.82976121214,0.708891354553,0.9570308764830001,0.817621870549,0.637658413914,0.6720639182829999,0.6330765359839999,0.672222973788
SSP1,ZAF,2045,61855000.0,2011166891910.0,0.82921,0.6605061616669999,32514.2169899,1186908495520.0,19188.561887,1.23765739465,1.16743815743,51290784.55,10564215.45,16029.635475100002,19839.1968792,1017567972780.0,169340522744.0,0.9123417793529999,0.7837232935959999,0.00292433069293,0.9094174486609999,0.780798962903,0.7952587329970001,0.68278566117,0.928415389931,0.797110034198,0.627485278194,0.6647249761999999,0.6229625129590001,0.66518360331
SSP1,ZAF,2050,62344000.0,2282903197470.0,0.8503799999999999,0.6509364599040001,36617.8493113,1347276156160.0,21610.357952000002,1.11880347601,1.18149524272,53016090.72,9327909.28,19627.4354428,21959.2429985,1164193218950.0,183082937210.0,0.8768585613700001,0.7569187996160001,0.000760295205384,0.876098266164,0.756158504411,0.757325642637,0.653646111864,0.894776643964,0.7722797715880001,0.615833246093,0.655813843166,0.6113143962309999,0.656454324794
SSP1,ZAF,2055,62471000.0,2544045014530.0,0.86934,0.6456971866669999,40723.61599030001,1501391382720.0,24033.413627500002,1.10839592942,1.17855559041,54308539.14,8162460.86,21963.7092322,24344.485908000002,1322113465780.0,179277916948.0,0.857986342988,0.742566088343,0.0005715529644600001,0.8574147900229999,0.741994535378,0.740916968814,0.641178981778,0.873211835627,0.75566507343,0.61063270143,0.649932331248,0.606210392708,0.650482050612
SSP1,ZAF,2060,62215000.0,2795010488680.0,0.8862200000000001,0.641050531667,44925.0259371,1649500947650.0,26512.914050400002,1.0979883828399999,1.17561593811,55136177.3,7078822.7,24394.512521700002,26784.8913539,1476816518650.0,172684428994.0,0.841565332759,0.730022147534,0.0004197432272330001,0.841145589532,0.7296024043070001,0.72686063743,0.630472625982,0.8545089501459999,0.741193667645,0.606097325382,0.644720100829,0.601767705659,0.645191901123
