scenario,year,iso,name,gini_r,gini_u,i_r,i_u,n_orig,n_orig.1,n_r,n_u
SSP1,2010,ZAF,Eastern Cape,0.5916738971859999,0.7055499399099999,2365.15735586,5519.52277326,2666471.33682,2666471.33682,2666471.33682,2666471.33682
SSP1,2010,ZAF,Free State,0.7071532414820001,0.689595934347,5937.68743354,5164.84660664,2561743.32359,2561743.32359,2561743.32359,2561743.32359
SSP1,2010,ZAF,Gauteng,0.728510058443,0.670919889801,18131.2357363,9671.67037465,9592585.21169,9592585.21169,9592585.21169,9592585.21169
SSP1,2010,ZAF,KwaZulu-Natal,0.650143761066,0.6780478079410001,3041.30455735,6496.30376369,5622651.71023,5622651.71023,5622651.71023,5622651.71023
SSP1,2010,ZAF,Limpopo,0.6135485853729999,0.648952304195,2792.31802799,7737.51791152,1954945.24694,1954945.24694,1954945.24694,1954945.24694
SSP1,2010,ZAF,Mpumalanga,0.6349624587380001,0.684548309168,3536.95299725,7577.54315138,2280259.28803,2280259.28803,2280259.28803,2280259.28803
SSP1,2010,ZAF,North West,0.7543054855589999,0.6946874951500001,6792.26151784,6119.43902289,2021985.25541,2021985.25541,2021985.25541,2021985.25541
SSP1,2010,ZAF,Northern Cape,0.49308619505,0.6669965833470001,6083.05380878,5589.80226773,508157.064188,508157.064188,508157.064188,508157.064188
SSP1,2010,ZAF,Western Cape,0.555503229066,0.65899914494,7185.53078369,8410.74169379,3982951.50311,3982951.50311,3982951.50311,3982951.50311
SSP1,2020,ZAF,Eastern Cape,0.6197405653670001,0.6995134909790001,3968.5622892,7875.76019348,4649453.0,3219154.0,4542971.797780002,3208907.37287
SSP1,2020,ZAF,Free State,0.693038266128,0.687885529839,7707.65589583,7532.38051257,792093.0,3204515.0,773952.583286,3194314.96908
SSP1,2020,ZAF,Gauteng,0.703521616842,0.687211715207,19891.620477,11818.6034771,216346.0,10904300.0,211391.270449,10869591.41
SSP1,2020,ZAF,KwaZulu-Natal,0.6601552717620001,0.681952466737,4597.82082341,8625.68063875,4948712.0,6818584.0,4835377.20487,6796880.32015
SSP1,2020,ZAF,Limpopo,0.634912261444,0.656504284097,4472.3388532,10052.0449171,3071360.0,3117431.0,3001020.09007,3107508.15907
SSP1,2020,ZAF,Mpumalanga,0.643076615945,0.684570496058,5319.71453206,9901.28562342,1183985.0,3068135.0,1156869.52078,3058369.06916
SSP1,2020,ZAF,North West,0.71807224824,0.690754990797,8516.15596347,8464.13066888,1285474.0,2332945.0,1256034.23215,2325519.19262
SSP1,2020,ZAF,Northern Cape,0.5093905573449999,0.667358367672,7878.10998938,7978.7534956,611848.0,623788.0,597835.5321640001,621802.471179
SSP1,2020,ZAF,Western Cape,0.5671163112709999,0.6669780522290001,8962.62715215,10618.8661854,693779.0,4487047.0,677890.158453,4472764.64584
SSP1,2030,ZAF,Eastern Cape,0.634556192598,0.695344111527,6797.56199204,11963.526078,4327304.0,3881301.0,4203829.21576,3870230.54782
SSP1,2030,ZAF,Free State,0.679002281569,0.686631323926,10628.4652842,11594.399141700002,742424.0,3606910.0,721239.7607560002,3596622.18036
SSP1,2030,ZAF,Gauteng,0.684795135575,0.688046084945,22591.1496042,13791.298357499998,190146.0,12189795.0,184720.396362,12155026.6214
SSP1,2030,ZAF,KwaZulu-Natal,0.652830804961,0.674401081405,7656.03929981,12774.3848093,4264859.0,8190234.0,4143166.01405,8166873.381019998
SSP1,2030,ZAF,Limpopo,0.641099912319,0.661919502994,7557.97922914,14164.4255342,2248644.0,4121812.0,2184481.45613,4110055.54962
SSP1,2030,ZAF,Mpumalanga,0.6456041780080001,0.68355840492,8355.12365381,13947.1769847,932181.0,3536470.0,905582.256798,3526383.09305
SSP1,2030,ZAF,North West,0.691367545695,0.6876497899230001,11581.6578607,12415.6310131,1077967.0,2745465.0,1047208.41619,2737634.23939
SSP1,2030,ZAF,Northern Cape,0.523838682589,0.665691886207,10794.605774299998,11627.6010924,546200.0,755107.0,530614.7933319999,752953.243841
SSP1,2030,ZAF,Western Cape,0.575651736274,0.671015769951,11833.9213093,14815.0985495,619105.0,5044327.0,601439.530622,5029939.3035
SSP1,2040,ZAF,Eastern Cape,0.6205661348629999,0.687856955768,11198.8499998,16046.0670793,3600162.0,4749555.0,3474931.27566,4735446.26071
SSP1,2040,ZAF,Free State,0.67111402933,0.682571886381,15586.830432,15816.1426485,657688.0,3967450.0,634810.489313,3955664.53426
SSP1,2040,ZAF,Gauteng,0.6784534076559999,0.660333026221,27558.2630751,19196.5492811,165092.0,13296140.0,159349.316548,13256643.295
SSP1,2040,ZAF,KwaZulu-Natal,0.634444391001,0.671400580695,12026.7925248,16511.911246,3495333.0,9373637.0,3373748.72591,9345792.24388
SSP1,2040,ZAF,Limpopo,0.636246610076,0.661536915084,12357.490893,18220.1701065,1650474.0,4732717.0,1593062.67948,4718658.27864
SSP1,2040,ZAF,Mpumalanga,0.64468208518,0.6797186178319999,13340.3046965,17810.147782,785150.0,3795513.0,757838.755891,3784238.27986
SSP1,2040,ZAF,North West,0.6782244595550001,0.687496114023,16453.2496453,16686.5838713,899776.0,3044259.0,868477.5194809998,3035215.90932
SSP1,2040,ZAF,Northern Cape,0.538352291906,0.664896715946,15800.3440169,15406.8914825,490554.0,847808.0,473490.203219,845289.553105
SSP1,2040,ZAF,Western Cape,0.585843166379,0.6666246398800001,16805.2116813,18661.1858377,540989.0,5516559.0,522170.834504,5500171.84526
SSP1,2050,ZAF,Eastern Cape,0.592903738906,0.672534410423,17423.9916945,20530.9972243,2796239.0,5516101.0,2683024.3058,5496376.52314
SSP1,2050,ZAF,Free State,0.660573703269,0.6709477333,22600.0723825,20355.5468851,568242.0,4238998.0,545234.902158,4223840.18872
SSP1,2050,ZAF,Gauteng,0.6723548756290001,0.63672175268,34644.7225145,23291.0323905,146006.0,14132274.0,140094.479332,14081739.8072
SSP1,2050,ZAF,KwaZulu-Natal,0.603862311902,0.651365567989,18229.9130221,20796.9889903,2684499.0,10329660.0,2575808.45768,10292723.1963
SSP1,2050,ZAF,Limpopo,0.62482479026,0.653661730002,19157.6005216,22698.450385,1224863.0,5031248.0,1175270.4973600002,5013257.26076
SSP1,2050,ZAF,Mpumalanga,0.638994622835,0.669473054892,20365.6771981,22339.687184,675382.0,3919557.0,648036.996014,3905541.44602
SSP1,2050,ZAF,North West,0.662935837982,0.6763930152140001,23355.1656718,21255.8155568,732232.0,3251508.0,702585.241634,3239881.25598
SSP1,2050,ZAF,Northern Cape,0.55008353988,0.6632702981199999,22898.8717122,20083.8987458,414899.0,930377.0,398100.484777,927050.157434
SSP1,2050,ZAF,Western Cape,0.5920205139670001,0.656191428481,23845.7471507,23100.2687159,479154.0,5856623.0,459753.915248,5835680.8844
SSP1,2060,ZAF,Eastern Cape,0.578761374428,0.66198841067,21719.9051684,25510.6008539,2019104.0,6076863.0,1930204.57787,6048788.95764
SSP1,2060,ZAF,Free State,0.650461265515,0.663380864888,27490.8183233,25401.5417596,514706.0,4358418.0,492043.935061,4338282.87246
